release_date,movie,production_budget,worldwide_gross,worldwide_profit,worldwide_ROI,Year
2018-07-27,Mission: ImpossibleâFallout,178000000.0,787456552.0,609456552.0,342.3913213483146,2018
2012-06-08,Madagascar 3: Europe's Most Wanted,145000000.0,746921271.0,601921271.0,415.1181179310345,2012
2014-08-01,Guardians of the Galaxy,170000000.0,770867516.0,600867516.0,353.45148,2014
2012-03-23,The Hunger Games,80000000.0,677923379.0,597923379.0,747.40422375,2012
2010-05-21,Shrek Forever After,165000000.0,756244673.0,591244673.0,358.3301048484849,2010
2013-10-04,Gravity,110000000.0,693698673.0,583698673.0,530.6351572727273,2013
2015-11-06,Spectre,300000000.0,879620923.0,579620923.0,193.20697433333333,2015
2014-05-30,Maleficent,180000000.0,758536735.0,578536735.0,321.4092972222222,2014
2016-08-05,Suicide Squad,175000000.0,746059887.0,571059887.0,326.31993542857145,2016
2011-11-18,"The Twilight Saga: Breaking Dawn, Part 1",127500000.0,689420051.0,561920051.0,440.721608627451,2011
2016-12-21,Sing,75000000.0,634454789.0,559454789.0,745.9397186666667,2016
2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,788241137.0,558241137.0,242.71353782608696,2017
2011-12-16,Mission: ImpossibleâGhost Protocol,145000000.0,694713230.0,549713230.0,379.1125724137931,2011
2014-05-23,X-Men: Days of Future Past,200000000.0,747862775.0,547862775.0,273.9313875,2014
2015-10-02,The Martian,108000000.0,655271443.0,547271443.0,506.7328175925926,2015
2014-04-04,Captain America: The Winter Soldier,170000000.0,714401889.0,544401889.0,320.2364052941177,2014
2013-06-21,Monsters University,200000000.0,743588329.0,543588329.0,271.79416449999997,2013
2014-07-11,Dawn of the Planet of the Apes,170000000.0,710644566.0,540644566.0,318.02621529411766,2014
2015-07-31,Mission: ImpossibleâRogue Nation,150000000.0,688858992.0,538858992.0,359.239328,2015
2012-07-03,The Amazing Spider-Man,220000000.0,757890267.0,537890267.0,244.4955759090909,2012
2015-02-13,Fifty Shades of Grey,40000000.0,570998101.0,530998101.0,1327.4952524999999,2015
2011-05-26,Kung Fu Panda 2,150000000.0,664837547.0,514837547.0,343.22503133333333,2011
2016-11-04,Doctor Strange,165000000.0,676404566.0,511404566.0,309.94216121212116,2016
2014-05-02,The Amazing Spider-Man 2,200000000.0,708996336.0,508996336.0,254.498168,2014
2011-05-26,The Hangover Part II,80000000.0,586464305.0,506464305.0,633.08038125,2011
2012-06-29,Ted,50000000.0,556016627.0,506016627.0,1012.0332539999999,2012
2011-04-29,Fast Five,125000000.0,630163454.0,505163454.0,404.1307632,2011
2014-11-05,Interstellar,165000000.0,666379375.0,501379375.0,303.8662878787879,2014
2012-11-21,Life of Pi,120000000.0,620912003.0,500912003.0,417.42666916666667,2012
2013-11-08,Thor: The Dark World,150000000.0,644602516.0,494602516.0,329.7350106666667,2013
2016-02-19,Mei Ren Yu,60720000.0,554516671.0,493796671.0,813.2356241765481,2016
2018-07-06,Ant-Man and the Wasp,130000000.0,623144660.0,493144660.0,379.3420461538461,2018
2014-12-25,American Sniper,58000000.0,547326372.0,489326372.0,843.6661586206898,2014
2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000.0,648986787.0,488986787.0,305.616741875,2015
2017-03-03,Logan,127000000.0,615461394.0,488461394.0,384.6152708661417,2017
2016-11-23,Moana,150000000.0,637517365.0,487517365.0,325.01157666666666,2016
2014-11-07,Big Hero 6,165000000.0,652127828.0,487127828.0,295.2289866666667,2014
2010-07-09,Despicable Me,69000000.0,543464573.0,474464573.0,687.6298159420289,2010
2012-05-25,Les Intouchables,10800000.0,484873045.0,474073045.0,4389.5652314814815,2012
2014-06-13,How to Train Your Dragon 2,145000000.0,614586270.0,469586270.0,323.8526,2014
2018-07-13,Hotel Transylvania 3: Summer Vacation,65000000.0,527079962.0,462079962.0,710.8922492307693,2018
2011-07-29,The Smurfs,110000000.0,563749323.0,453749323.0,412.4993845454545,2011
2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,652220086.0,452220086.0,226.110043,2018
2010-05-07,Iron Man 2,170000000.0,621156389.0,451156389.0,265.3861111764706,2010
2013-06-14,Man of Steel,225000000.0,667999518.0,442999518.0,196.88867466666667,2013
2015-03-13,Cinderella,95000000.0,534551353.0,439551353.0,462.68563473684213,2015
2012-05-25,Men in Black 3,215000000.0,654213485.0,439213485.0,204.2853418604651,2012
2013-03-22,The Croods,135000000.0,573068425.0,438068425.0,324.4951296296296,2013
2019-05-24,Aladdin,182000000.0,619234314.0,437234314.0,240.23863406593406,2019
2018-11-09,Dr. Seussâ The Grinch,75000000.0,511002426.0,436002426.0,581.336568,2018
2018-03-29,Ready Player One,150000000.0,579290136.0,429290136.0,286.193424,2018
2011-10-28,Puss in Boots,130000000.0,554987477.0,424987477.0,326.9134438461538,2011
2014-07-25,Lucy,40000000.0,457507776.0,417507776.0,1043.76944,2014
2010-11-26,The Kingâs Speech,15000000.0,430821168.0,415821168.0,2772.14112,2010
2011-12-16,Sherlock Holmes: A Game of Shadows,125000000.0,535663443.0,410663443.0,328.53075440000003,2011
2016-12-09,La La Land,20000000.0,426351163.0,406351163.0,2031.755815,2016
2015-12-25,The Revenant,135000000.0,532938302.0,397938302.0,294.7691125925926,2015
2014-02-07,The Lego Movie,60000000.0,457729388.0,397729388.0,662.8823133333333,2014
2011-04-15,Rio,90000000.0,487519809.0,397519809.0,441.6886766666667,2011
2018-10-05,A Star is Born,36000000.0,433449571.0,397449571.0,1104.026586111111,2018
2019-02-22,How to Train Your Dragon: The Hidden World,129000000.0,519258283.0,390258283.0,302.52580077519383,2019
2015-09-25,Hotel Transylvania 2,80000000.0,469500298.0,389500298.0,486.8753725,2015
2015-07-17,Ant-Man,130000000.0,518858449.0,388858449.0,299.1218838461538,2015
2017-06-21,Transformers: The Last Knight,217000000.0,602893340.0,385893340.0,177.8310322580645,2017
2017-03-31,The Boss Baby,125000000.0,510878762.0,385878762.0,308.7030096,2017
2011-08-05,Rise of the Planet of the Apes,93000000.0,470986200.0,377986200.0,406.43677419354833,2011
2016-01-29,Kung Fu Panda 3,140000000.0,517599142.0,377599142.0,269.71367285714285,2016
2012-12-25,Les Miserables,65000000.0,442169052.0,377169052.0,580.2600799999999,2012
2017-03-10,Kong: Skull Island,185000000.0,561072059.0,376072059.0,203.28219405405403,2017
2012-06-22,Brave,185000000.0,554606532.0,369606532.0,199.7873145945946,2012
2014-05-16,Godzilla,160000000.0,529076069.0,369076069.0,230.67254312499998,2014
2010-04-01,Clash of the Titans,125000000.0,493214888.0,368214888.0,294.57191040000004,2010
2016-05-27,X-Men: Apocalypse,178000000.0,542537546.0,364537546.0,204.79637415730338,2016
2018-12-21,Bumblebee,102000000.0,465195589.0,363195589.0,356.0741068627451,2018
2014-04-11,Rio 2,130000000.0,492846291.0,362846291.0,279.11253153846155,2014
2011-06-24,Cars 2,200000000.0,560155383.0,360155383.0,180.0776915,2011
2014-08-08,Teenage Mutant Ninja Turtles,125000000.0,485004754.0,360004754.0,288.0038032,2014
2017-11-17,Justice League,300000000.0,655945209.0,355945209.0,118.64840299999999,2017
2018-08-10,The Meg,178000000.0,529530715.0,351530715.0,197.48916573033708,2018
2012-12-25,Django Unchained,100000000.0,449948323.0,349948323.0,349.948323,2012
2017-07-21,Dunkirk,150000000.0,499837368.0,349837368.0,233.22491200000002,2017
2018-11-21,Ralph Breaks The Internet,175000000.0,524283695.0,349283695.0,199.59068285714287,2018
2015-05-29,San Andreas,110000000.0,456258539.0,346258539.0,314.78049,2015
2013-06-21,World War Z,190000000.0,531514650.0,341514650.0,179.74455263157896,2013
2017-07-14,War for the Planet of the Apes,152000000.0,489592267.0,337592267.0,222.10017565789474,2017
2012-10-05,Taken 2,45000000.0,377807404.0,332807404.0,739.572008888889,2012
2012-11-02,Wreck-It Ralph,165000000.0,496511521.0,331511521.0,200.91607333333332,2012
2010-03-26,How to Train Your Dragon,165000000.0,494870992.0,329870992.0,199.92181333333335,2010
2010-11-24,Tangled,260000000.0,586477240.0,326477240.0,125.56816923076923,2010
2017-02-10,Fifty Shades Darker,55000000.0,381398492.0,326398492.0,593.4518036363636,2017
2010-12-03,Black Swan,13000000.0,331266710.0,318266710.0,2448.205461538462,2010
2018-04-06,A Quiet Place,17000000.0,334522294.0,317522294.0,1867.7782,2018
2018-02-09,Fifty Shades Freed,55000000.0,371350619.0,316350619.0,575.1829436363637,2018
2014-09-19,The Maze Runner,34000000.0,348319861.0,314319861.0,924.4701794117648,2014
2010-06-11,The Karate Kid,40000000.0,351774938.0,311774938.0,779.437345,2010
2015-02-13,Kingsman: The Secret Service,94000000.0,404561724.0,310561724.0,330.38481276595746,2015
2018-04-13,Rampage,120000000.0,428056280.0,308056280.0,256.7135666666667,2018
2014-10-03,Gone Girl,61000000.0,368567189.0,307567189.0,504.20850655737706,2014
2017-09-22,Kingsman: The Golden Circle,104000000.0,408803696.0,304803696.0,293.0804769230769,2017
2016-01-22,Zhuo yao ji,56000000.0,359495591.0,303495591.0,541.9564124999999,2016
2017-12-20,The Greatest Showman,84000000.0,386665550.0,302665550.0,360.31613095238095,2017
2013-07-26,The Wolverine,115000000.0,416456852.0,301456852.0,262.1363930434783,2013
2011-05-06,Thor,150000000.0,449326618.0,299326618.0,199.55107866666665,2011
2018-11-16,Green Book,23000000.0,322034439.0,299034439.0,1300.1497347826087,2018
2013-07-19,The Conjuring,20000000.0,318000141.0,298000141.0,1490.000705,2013
2016-07-22,Ice Age: Collision Course,105000000.0,402156682.0,297156682.0,283.0063638095238,2016
2018-02-09,Peter Rabbit,50000000.0,347136477.0,297136477.0,594.272954,2018
2016-07-29,Jason Bourne,120000000.0,416168316.0,296168316.0,246.80692999999997,2016
2014-06-06,The Fault in Our Stars,12000000.0,307166834.0,295166834.0,2459.7236166666667,2014
2012-09-28,Hotel Transylvania,85000000.0,378505812.0,293505812.0,345.30095529411767,2012
2017-11-10,Murder on the Orient Express,55000000.0,345922730.0,290922730.0,528.9504181818182,2017
2017-08-11,Annabelle: Creation,15000000.0,305384865.0,290384865.0,1935.8990999999999,2017
2013-03-08,Oz the Great and Powerful,200000000.0,490359051.0,290359051.0,145.17952549999998,2013
2013-12-25,The Wolf of Wall Street,100000000.0,389870414.0,289870414.0,289.870414,2013
2018-12-14,Spider-Man: Into The Spider-Verse 3D,90000000.0,375381768.0,285381768.0,317.0908533333333,2018
2016-12-21,Dangal,9500000.0,294654618.0,285154618.0,3001.627557894737,2016
2017-11-17,Wonder,20000000.0,304604712.0,284604712.0,1423.02356,2017
2012-03-02,Doctor Seuss' The Lorax,67500000.0,350976753.0,283476753.0,419.96556,2012
2014-06-13,22 Jump Street,50000000.0,331333876.0,281333876.0,562.6677520000001,2014
2015-01-09,Taken 3,48000000.0,327656424.0,279656424.0,582.6175499999999,2015
2016-05-20,The Angry Birds Movie,73000000.0,352327887.0,279327887.0,382.6409410958904,2016
2019-04-05,Shazam!,85000000.0,362899733.0,277899733.0,326.9408623529412,2019
2012-06-08,Prometheus,125000000.0,402448265.0,277448265.0,221.95861200000002,2012
2013-05-16,Star Trek Into Darkness,190000000.0,467381584.0,277381584.0,145.99030736842104,2013
2015-07-01,Terminator: Genisys,155000000.0,432150894.0,277150894.0,178.80702838709678,2015
2017-01-27,Resident Evil: The Final Chapter,40000000.0,314101190.0,274101190.0,685.252975,2017
2017-01-20,Split,5000000.0,278964806.0,273964806.0,5479.29612,2017
2016-06-10,The Conjuring 2: The Enfield Poltergeist,40000000.0,311262102.0,271262102.0,678.155255,2016
2011-12-16,Alvin and the Chipmunks: Chipwrecked,80000000.0,349088523.0,269088523.0,336.36065375,2011
2013-05-31,Now You See Me,75000000.0,342769200.0,267769200.0,357.0256,2013
2016-06-10,Warcraft,160000000.0,425522281.0,265522281.0,165.951425625,2016
2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,418186950.0,263186950.0,169.79803225806452,2010
2019-05-10,PokÃ©mon: Detective Pikachu,150000000.0,411258433.0,261258433.0,174.17228866666667,2019
2017-01-20,xXx: Return of Xander Cage,85000000.0,345033359.0,260033359.0,305.9215988235294,2017
2013-05-23,The Hangover 3,103000000.0,362000072.0,259000072.0,251.45638058252428,2013
2015-05-15,Pitch Perfect 2,29000000.0,287625468.0,258625468.0,891.8119586206897,2015
2011-05-13,Bridesmaids,32500000.0,289632023.0,257132023.0,791.1754553846154,2011
2015-03-27,Home,130000000.0,385997896.0,255997896.0,196.92145846153846,2015
2014-05-09,Neighbors,18000000.0,270944428.0,252944428.0,1405.2468222222221,2014
2017-02-24,Get Out,5000000.0,255367951.0,250367951.0,5007.35902,2017
2014-10-03,Annabelle,6500000.0,256862920.0,250362920.0,3851.7372307692303,2014
2015-09-18,Maze Runner: The Scorch Trials,61000000.0,310566162.0,249566162.0,409.12485573770493,2015
2018-10-19,Halloween,10000000.0,254900667.0,244900667.0,2449.0066699999998,2018
2011-12-21,The Adventures of Tintin,130000000.0,373993951.0,243993951.0,187.68765461538462,2011
2012-02-10,Journey 2: The Mysterious Island,79000000.0,318146162.0,239146162.0,302.71666075949366,2012
2013-07-31,The Smurfs 2,110000000.0,348547523.0,238547523.0,216.86138454545457,2013
2010-09-10,Resident Evil: Afterlife,57500000.0,295874190.0,238374190.0,414.5638086956522,2010
2016-06-10,Now You See Me 2,90000000.0,328325007.0,238325007.0,264.80556333333334,2016
2015-02-06,The SpongeBob Movie: Sponge Out of Water,74000000.0,311013181.0,237013181.0,320.2880824324324,2015
2013-03-27,G.I. Joe: Retaliation,140000000.0,375740705.0,235740705.0,168.38621785714284,2013
2014-11-26,Penguins of Madagascar,132000000.0,366942531.0,234942531.0,177.9867659090909,2014
2019-03-22,Us,20000000.0,254210310.0,234210310.0,1171.05155,2019
2017-04-28,Baahubali 2: The Conclusion,30000000.0,263502914.0,233502914.0,778.3430466666666,2017
2019-02-14,Alita: Battle Angel,170000000.0,402976036.0,232976036.0,137.04472705882353,2019
2012-06-01,Snow White and the Huntsman,170000000.0,401021746.0,231021746.0,135.89514470588236,2012
2013-08-07,We're the Millers,37000000.0,267816276.0,230816276.0,623.827772972973,2013
2017-02-10,The Lego Batman Movie,80000000.0,310660018.0,230660018.0,288.3250225,2017
2011-07-22,Captain America: The First Avenger,140000000.0,370569776.0,230569776.0,164.69269714285716,2011
2018-06-08,Oceanâs 8,70000000.0,297115976.0,227115976.0,324.4513942857143,2018
2014-12-19,Night at the Museum: Secret of the Tomb,127000000.0,353756621.0,226756621.0,178.54852047244094,2014
2019-01-18,Glass,20000000.0,245303505.0,225303505.0,1126.517525,2019
2014-03-28,Noah,130000000.0,352831065.0,222831065.0,171.40851153846154,2014
2013-07-12,Pacific Rim,190000000.0,411002906.0,221002906.0,116.31731894736843,2013
2014-03-07,300: Rise of an Empire,110000000.0,330780051.0,220780051.0,200.70913727272725,2014
2015-05-15,Mad Max: Fury Road,150000000.0,370098020.0,220098020.0,146.73201333333336,2015
2010-02-19,Shutter Island,80000000.0,299461782.0,219461782.0,274.3272275,2010
2016-06-24,Independence Day: Resurgence,165000000.0,384169424.0,219169424.0,132.82995393939393,2016
2016-11-04,Trolls,125000000.0,344150134.0,219150134.0,175.3201072,2016
2013-12-13,American Hustle,40000000.0,257878294.0,217878294.0,544.695735,2013
2010-12-22,True Grit,35000000.0,252276928.0,217276928.0,620.7912228571429,2010
2019-05-17,John Wick: Chapter 3 â Parabellum,40000000.0,256498033.0,216498033.0,541.2450825,2019
2012-11-16,Silver Linings Playbook,21000000.0,236412453.0,215412453.0,1025.7735857142857,2012
2017-06-09,The Mummy,195000000.0,409953905.0,214953905.0,110.23277179487178,2017
2014-11-28,The Imitation Game,15000000.0,227740463.0,212740463.0,1418.2697533333335,2014
2013-02-14,A Good Day to Die Hard,92000000.0,304249198.0,212249198.0,230.70565,2013
2012-08-17,The Expendables 2,100000000.0,311979256.0,211979256.0,211.979256,2012
2018-12-19,Mary Poppins Returns,130000000.0,341528518.0,211528518.0,162.71424461538462,2018
2010-12-22,Little Fockers,100000000.0,310650574.0,210650574.0,210.65057399999998,2010
2017-06-16,Cars 3,175000000.0,383541369.0,208541369.0,119.16649657142857,2017
2012-11-09,Lincoln,65000000.0,273346281.0,208346281.0,320.53274,2012
2018-08-15,Crazy Rich Asians,30000000.0,238099711.0,208099711.0,693.6657033333333,2018
2011-06-10,Super 8,50000000.0,257972745.0,207972745.0,415.94549,2011
2016-12-25,Hidden Figures,25000000.0,231771716.0,206771716.0,827.086864,2016
2018-01-26,Maze Runner: The Death Cure,61000000.0,265878536.0,204878536.0,335.8664524590164,2018
2015-01-16,Paddington,55000000.0,258789097.0,203789097.0,370.5256309090909,2015
2011-10-21,Paranormal Activity 3,5000000.0,207039844.0,202039844.0,4040.79688,2011
2010-12-17,Tron: Legacy,200000000.0,400062763.0,200062763.0,100.0313815,2010
2010-05-27,Sex and the City 2,95000000.0,294680778.0,199680778.0,210.19029263157893,2010
2010-06-25,Grown Ups,75000000.0,272223430.0,197223430.0,262.9645733333333,2010
2011-06-24,Bad Teacher,19000000.0,215448997.0,196448997.0,1033.942089473684,2011
2013-09-27,Cloudy with a Chance of Meatballs 2,78000000.0,274392649.0,196392649.0,251.78544743589742,2013
2011-06-03,X-Men: First Class,160000000.0,355408305.0,195408305.0,122.13019062499998,2011
2017-06-28,Baby Driver,34000000.0,228104185.0,194104185.0,570.8946617647059,2017
2015-12-25,Daddyâs Home,50000000.0,242757137.0,192757137.0,385.514274,2015
2014-06-06,Edge of Tomorrow,178000000.0,370541256.0,192541256.0,108.16924494382023,2014
2016-12-21,Passengers,110000000.0,302239672.0,192239672.0,174.76333818181817,2016
2010-11-05,Megamind,130000000.0,321887208.0,191887208.0,147.60554461538462,2010
2014-03-21,Divergent,85000000.0,276014965.0,191014965.0,224.7234882352941,2014
2016-06-03,Me Before You,20000000.0,208265198.0,188265198.0,941.32599,2016
2011-08-10,The Help,25000000.0,213120004.0,188120004.0,752.480016,2011
2013-08-09,Disney Planes,50000000.0,238059569.0,188059569.0,376.119138,2013
2012-04-06,American Reunion,50000000.0,236799211.0,186799211.0,373.598422,2012
2013-06-28,The Heat,43000000.0,229727774.0,186727774.0,434.25063720930234,2013
2010-08-13,The Expendables,82000000.0,268268174.0,186268174.0,227.15630975609758,2010
2016-09-30,Miss Peregrineâs Home for Peculiar Children,110000000.0,295986876.0,185986876.0,169.07897818181817,2016
2015-03-20,The Divergent Series: Insurgent,110000000.0,295075882.0,185075882.0,168.25080181818183,2015
2010-10-01,The Social Network,40000000.0,224922135.0,184922135.0,462.30533749999995,2010
2017-02-17,The Great Wall,150000000.0,334486852.0,184486852.0,122.99123466666666,2017
2018-03-16,Tomb Raider,90000000.0,273477501.0,183477501.0,203.86389,2018
2012-10-12,Argo,44500000.0,227140757.0,182640757.0,410.42866741573033,2012
2018-07-13,Skyscraper,125000000.0,304115534.0,179115534.0,143.2924272,2018
2017-12-15,Ferdinand,111000000.0,289847930.0,178847930.0,161.12426126126127,2017
2010-12-10,The Tourist,100000000.0,278731369.0,178731369.0,178.731369,2010
2017-01-27,A Dogâs Purpose,25000000.0,203671625.0,178671625.0,714.6865,2017
2016-09-09,Sully,60000000.0,238524556.0,178524556.0,297.5409266666667,2016
2011-07-08,Horrible Bosses,35000000.0,212417601.0,177417601.0,506.90743142857144,2011
2017-12-01,The Shape of Water,19500000.0,195790794.0,176290794.0,904.0553538461538,2017
2012-09-14,Resident Evil: Retribution,65000000.0,240647629.0,175647629.0,270.2271215384616,2012
2019-03-29,Dumbo,170000000.0,345004422.0,175004422.0,102.94377764705882,2019
2010-10-20,Paranormal Activity 2,3000000.0,177512032.0,174512032.0,5817.067733333333,2010
2015-08-14,Straight Outta Compton,28000000.0,202182981.0,174182981.0,622.0820749999999,2015
2014-02-28,Non-Stop,50000000.0,222383055.0,172383055.0,344.76610999999997,2014
2016-09-16,Bridget Jonesâs Baby,35000000.0,205822688.0,170822688.0,488.0648228571428,2016
2010-07-01,The Last Airbender,150000000.0,319713881.0,169713881.0,113.14258733333334,2010
2016-07-01,The Legend of Tarzan,180000000.0,348902025.0,168902025.0,93.83445833333333,2016
2013-04-19,Oblivion,120000000.0,287916633.0,167916633.0,139.93052749999998,2013
2012-02-10,The Vow,30000000.0,197618160.0,167618160.0,558.7271999999999,2012
2015-06-05,Spy!,65000000.0,232585748.0,167585748.0,257.82422769230766,2015
2016-06-17,Central Intelligence,50000000.0,217194805.0,167194805.0,334.38961,2016
2013-07-12,Grown Ups 2,80000000.0,247023808.0,167023808.0,208.77976,2013
2017-07-28,The Emoji Movie,50000000.0,216562312.0,166562312.0,333.124624,2017
2013-08-09,Elysium,120000000.0,286192091.0,166192091.0,138.49340916666665,2013
2013-10-11,Captain Phillips,55000000.0,220648184.0,165648184.0,301.1785163636364,2013
2010-02-12,Valentine's Day,52000000.0,217569328.0,165569328.0,318.40255384615386,2010
2013-01-25,Hansel & Gretel: Witch Hunters,50000000.0,214949716.0,164949716.0,329.899432,2013
2018-11-21,Creed II,50000000.0,213591522.0,163591522.0,327.183044,2018
2012-06-29,Magic Mike,7000000.0,170549753.0,163549753.0,2336.4250428571427,2012
2013-05-24,Epic,100000000.0,262794441.0,162794441.0,162.794441,2013
2012-11-21,Rise of the Guardians,145000000.0,306900902.0,161900902.0,111.65579448275862,2012
2013-05-10,The Great Gatsby,190000000.0,351040419.0,161040419.0,84.75811526315789,2013
2013-10-18,12 Years a Slave,20000000.0,181025343.0,161025343.0,805.1267149999999,2013
2016-07-29,Bad Moms,20000000.0,180998716.0,160998716.0,804.9935800000001,2016
2012-03-16,21 Jump Street,42000000.0,202812429.0,160812429.0,382.88673571428575,2012
2010-07-23,Salt,130000000.0,290650494.0,160650494.0,123.57730307692307,2010
2015-12-18,Alvin and the Chipmunks: The Road Chip,90000000.0,249517956.0,159517956.0,177.24217333333334,2015
2018-01-05,Insidious: The Last Key,10000000.0,167885588.0,157885588.0,1578.85588,2018
2011-02-11,Gnomeo and Juliet,36000000.0,193737977.0,157737977.0,438.16104722222224,2011
2012-12-21,Jack Reacher,60000000.0,217370736.0,157370736.0,262.28456,2012
2015-09-25,The Intern,40000000.0,197115710.0,157115710.0,392.789275,2015
